E(MeV)	pendfb7/Cs133:1
6.66976E-06	69.16212
6.67402E-06	68.4739004
6.69385E-06	65.4750483
6.70539E-06	63.8429657
6.71369E-06	62.6796973
6.73353E-06	60.0741963
6.74102E-06	59.1505952
6.75337E-06	57.6427576
6.77321E-06	55.3656332
6.78394E-06	54.2081721
6.79427E-06	53.1059214
6.81653E-06	50.8773331
6.82686E-06	49.9088402
6.83880E-06	48.7997643
6.86107E-06	46.8595076
6.86978E-06	46.1465961
6.88334E-06	45.046778
6.90561E-06	43.3476674
6.91269E-06	42.8452446
6.93901E-06	40.9984729
6.96128E-06	39.5440788
6.96146E-06	39.5331617
6.98583E-06	38.0471557
7.01022E-06	36.6468256
7.01039E-06	36.6374112
7.04721E-06	34.6911914
7.05898E-06	34.1200558
7.08404E-06	32.9188406
7.12087E-06	31.2941756
7.13282E-06	30.807832
7.15770E-06	29.8093323
7.19557E-06	28.4056796
7.20802E-06	27.9784644
7.23344E-06	27.1191378
7.27131E-06	25.9320703
7.28323E-06	25.584596
7.30918E-06	24.8423145
7.34704E-06	23.8339274
7.38563E-06	22.8760371
7.41141E-06	22.2783376
7.42456E-06	21.9796213
7.46350E-06	21.153553
7.50244E-06	20.3801194
7.51452E-06	20.154995
7.54137E-06	19.6633664
7.59402E-06	18.7679612
7.62053E-06	18.3526168
7.64740E-06	17.9389163
7.70078E-06	17.1807829
7.72655E-06	16.8421729
7.75417E-06	16.4854388
7.80830E-06	15.8378698
